model,report,D_mm,T_mm,d_mm,t_mm,d_D,D_T,load_type,load_on,load_category,location,microstrain_1,microstrain_2,microstrain_3,stress_trans,stress_long,stress_shear,sigma1_psi,sigma2_psi,sigma1_MPa,sigma2_MPa,SI_MPa
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I300N-G,3,-8,8,7,102,-209,269,-160,1.855,-1.103,2.958
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0300N-B,136,-42,-115,-3606,2995,969,3135,-3745,21.616,-25.822,47.438
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0300N-C,121,-13,-32,-1115,3301,253,3315,-1129,22.857,-7.784,30.641
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0300N-D,82,1,13,234,2522,-158,2533,223,17.465,1.538,15.927
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0300N-E,46,0,33,671,1570,-437,1747,493,12.046,3.399,8.647
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0300N-F,7,-7,35,609,382,-564,1070,-79,7.378,-0.545,7.923
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0300N-G,5,-4,26,465,282,-399,783,-36,5.399,-0.248,5.647
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0300N-H,0,2,29,689,207,-355,877,19,6.047,0.131,5.916
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-A,-3,67,8,1653,410,785,2033,31,14.018,0.214,13.804
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-B,26,25,10,744,1007,190,1107,645,7.633,4.447,3.186
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-C,36,-7,17,170,1120,-317,1216,74,8.384,0.51,7.874
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-0,32,-30,23,-182,915,-709,1263,-530,8.708,-3.654,12.362
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-F,15,-49,20,-476,299,-1038,1020,-1197,7.033,-8.253,15.286
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-G,-69,-66,78,337,-1980,-1918,1420,-3,9.791,-0.021,9.812
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-K,-83,-63,91,697,-2272,-2051,1744,-3319,12.025,-22.885,34.91
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-J,-96,-40,107,1588,-2389,-1963,2393,-3195,16.5,-22.03,38.53
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330C-K,-106,-19,98,1940,-2641,-1564,2332,-3133,16.079,-21.602,37.681
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330C-A,-21,115,-40,1663,-129,2070,3023,-1489,20.844,-10.267,31.111
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330C-B,-38,84,-78,167,-1076,2165,1798,-2708,12.397,-18.672,31.069
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330C-0,-52,47,-123,-1603,-2040,2260,445,-4097,3.068,-28.249,31.317
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330C-F,-51,10,-150,-3014,-2444,2140,-570,-4888,-3.93,-33.703,29.773
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330C-G,-64,0,-140,-2390,-2821,1868,-1036,-4775,-7.143,-32.924,25.781
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330C-H,-79,-7,-133,-3005,-3268,1684,-1447,-4826,-9.977,-33.275,23.298
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,03300-K,-116,-23,-120,-3016,-4383,1298,-2233,-5167,-15.397,-35.626,20.229
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330C-L,-117,-9,-81,-1824,-4068,969,-1464,-4429,-10.094,-30.538,20.444
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330N-A*,-11,70,75,3187,628,-63,3189,62,21.988,0.427,21.561
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330N-D,51,64,41,2252,3215,310,2544,1923,17.541,13.259,4.282
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330N-F,45,49,35,1799,1880,196,2040,1639,14.066,11.301,2.765
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,T330N-F,32,20,18,810,1213,32,1215,8,8.377,0.055,8.322
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330N-G,25,18,26,923,1018,-108,1088,853,7.502,5.881,1.621
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330N-H,28,16,22,905,1068,-76,1089,785,7.509,5.413,2.096
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,I330N-J,24,10,16,538,874,-89,896,516,6.178,3.558,2.62
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330N-A,0,133,-2,2883,865,1811,3946,-199,27.208,-1.372,28.58
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330N-C,-3,20,-27,-133,-125,627,498,-756,3.434,-5.213,8.647
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330N-E,10,-10,-30,-878,50,272,124,-952,0.855,-6.564,7.419
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330N-F,23,-12,-26,-861,440,190,467,-888,3.22,-6.123,9.343
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330K-G,28,-7,-12,-449,707,76,712,-454,4.909,-3.13,8.039
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_inplane_cylinder,cylinder,force,0330N-J,24,-2,-1,-110,694,-13,694,-110,4.785,-0.758,5.543
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-A,2,-12,6,-138,16,-234,185,-308,1.276,-2.124,3.4
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-B,-4,-25,21,-79,-138,-621,513,-730,3.537,-5.033,8.57
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-C,-7,-29,26,-76,-223,-734,589,-887,4.061,-6.116,10.177
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-D,-7,-33,30,-55,-230,-848,710,-996,4.895,-6.867,11.762
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-E*,-19,-33,32,11,-581,-867,631,-1202,4.351,-8.288,12.639
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-F,0,-34,29,-104,-31,-848,781,-917,5.385,-6.323,11.708
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-G,0,-33,28,-115,-34,-817,743,-892,5.123,-6.15,11.273
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-H,0,-31,28,-73,-22,-791,744,-839,5.13,-5.785,10.915
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-J,-7,-31,29,-34,-210,-798,680,-925,4.689,-6.378,11.067
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,-O-C-K,-4,-31,28,-69,-135,-791,690,-894,4.758,-6.164,10.922
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-C-L,1,-31,24,-158,-19,-741,656,-832,4.523,-5.737,10.26
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-A,0,27,-39,-283,-71,880,710,-1063,4.895,-7.329,12.224
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-C,2,29,-30,-13,67,791,820,-765,5.654,-5.275,10.929
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C,0,1,31,-32,-22,22,848,849,5.847,5.854,0.007
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-E,-2,32,-35,-61,-75,899,831,-967,5.73,-6.667,12.397
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-F,0,34,-38,-83,-39,962,902,-1024,6.219,-7.06,13.279
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-G,-2,32,-41,-196,-116,981,826,-1138,5.695,-7.847,13.542
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-H,-6,31,-37,-109,-204,905,751,-1063,5.178,-7.329,12.507
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-K*,0,29,0,638,177,386,857,-42,5.909,-0.29,6.199
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-C-L,-11,28,-28,12,-324,747,610,-922,4.206,-6.357,10.563
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-N-A,-1,0,-1,-30,-38,6,-27,-41,-0.186,-0.283,0.097
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-N-B,-1,6,-8,-51,-58,184,129,-238,0.889,-1.641,2.53
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-N-C,-2,7,-10,-50,-86,222,155,-290,1.069,-2.0,3.069
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-O-N-H,2,1,3,92,85,-19,108,69,0.745,0.476,0.269
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-N-A,-10,9,-32,-501,-450,551,76,-1027,0.524,-7.081,7.605
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-N-C,-10,-3,-20,-490,-447,228,-239,-697,-1.648,-4.806,3.158
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-N-E,-11,-9,-10,-416,-453,19,-408,-461,-2.813,-3.179,0.366
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-N-F,-10,-12,-8,-428,-414,-63,-357,-485,-2.462,-3.344,0.882
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-N-H,-11,-13,-10,-500,-473,-44,-443,-534,-3.054,-3.682,0.628
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,O-O-N-J,-10,-12,-5,-366,-395,-89,-290,-470,-2.0,-3.241,1.241
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-B,-59,170,-10,3574,-710,2406,4654,-1789,32.089,-12.335,44.424
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-C,-45,182,-41,3151,-395,2969,4836,-2080,33.344,-14.342,47.686
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-0,-37,179,-38,3143,-169,2881,4809,-1836,33.158,-12.659,45.817
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,1-90C-F,-26,128,-6,2723,47,1785,3616,-846,24.932,-5.833,30.765
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-G,-19,90,28,2601,210,829,2860,-50,19.72,-0.345,20.065
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-H,-19,60,55,2559,183,70,2561,181,17.658,1.248,16.41
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-J,-19,59,66,2758,243,-89,2761,240,19.037,1.655,17.382
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-K,-19,67,65,2925,293,38,2925,292,20.168,2.013,18.155
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90C-L,-24,64,69,2940,169,-70,2942,16,20.285,0.11,20.175
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90C-A,25,47,119,3618,1827,-969,4041,1403,27.863,9.674,18.189
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90C-B,23,40,110,3264,1678,-931,3694,1248,25.47,8.605,16.865
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90C-E,0,-6,123,2579,788,-1716,3619,-252,24.953,-1.738,26.691
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90C-F,-7,-32,127,2097,415,-2127,3543,-1032,24.429,-7.116,31.545
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90C-G,-30,-16,121,2352,-207,-1823,3300,-1155,22.753,-7.964,30.717
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90C-H,-33,-6,104,2209,-335,-1469,2880,-1006,19.858,-6.936,26.794
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90C-J,-33,29,78,2407,-276,-652,2557,-426,17.631,-2.937,20.568
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-A,-12,92,36,2322,490,753,3045,268,20.995,1.848,19.147
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-C,45,21,58,1695,1863,-500,2286,1271,15.762,8.764,6.998
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-0,39,5,47,1085,1509,-557,1893,701,13.052,4.833,8.219
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-E,23,-2,30,602,865,-431,1183,283,8.157,1.951,6.206
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-F,10,-2,7,93,327,-114,374,47,2.579,0.324,2.255
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-G,3,-4,2,-45,72,-76,110,-82,0.758,-0.565,1.323
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-H,4,1,2,58,146,-13,148,56,1.02,0.386,0.634
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I-90N-J,1,-2,0,-54,27,-32,38,-65,0.262,-0.448,0.71
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-A,23,39,142,3954,1885,-1361,4629,1209,31.917,8.336,23.581
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-B,-16,0,86,1928,108,-1146,2482,-445,17.113,-3.068,20.181
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-C,-24,-12,40,632,-537,-696,957,-862,6.599,-5.943,12.542
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-0,-17,-11,4,-138,-555,-209,-51,-641,-0.352,-4.42,4.068
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-E,-4,-5,-14,-403,-249,120,-183,-469,-1.262,-3.234,1.972
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-F,16,11,-19,-174,432,399,630,-372,4.344,-2.565,6.909
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-G,14,13,-10,58,431,298,596,-107,4.109,-0.738,4.847
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-H,12,11,-8,50,371,253,510,-90,3.516,-0.621,4.137
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0-90N-J,10,11,-4,145,357,209,486,17,3.351,0.117,3.234
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-A,51,-52,-115,-3743,403,842,567,-3907,3.909,-26.939,30.848
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-B,2,-37,-109,-3219,-895,962,-548,-3566,-3.778,-24.588,20.81
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-0,-62,4,-118,-2438,-2599,1621,-896,-4141,-6.178,-28.552,22.374
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-E,-65,15,-110,-2017,-2558,1659,-607,-3068,-4.185,-21.154,16.969
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-F*,-22,41,-87,-989,-967,1716,738,-2693,5.089,-18.568,23.657
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-G,-26,57,-70,-254,-846,1690,1166,-2266,8.04,-15.624,23.664
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-H,8,81,-52,629,417,1766,2292,-1247,15.803,-8.598,24.401
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-J,30,102,-29,1575,1371,1747,3224,-27,22.229,-0.186,22.415
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-K,38,110,-8,2203,1816,1564,3585,434,24.719,2.992,21.727
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120C-L,37,129,16,3145,2055,1501,4196,1004,28.931,6.923,22.008
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120C-A,-35,-179,-75,-5549,-2706,-1387,-2141,-6114,-14.762,-42.156,27.394
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120C-C,44,-88,16,-1625,824,-1387,1449,-2250,9.991,-15.514,25.505
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,9120C-0,62,-56,49,-225,1786,-1399,2504,-942,17.265,-6.495,23.76
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,C120C-E,60,-25,77,1052,2383,-1355,3227,208,22.25,1.434,20.816
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120C-F,72,12,111,2626,2940,-1323,4116,1451,28.38,10.005,18.375
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120C-G,54,31,124,3366,2635,-1241,4294,1707,29.607,11.77,17.837
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120C-H,41,29,123,3307,2232,-1247,4128,1412,28.463,9.736,18.727
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120C-J,21,3,119,2650,1437,-1545,3703,384,25.532,2.648,22.884
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,C120C-K,17,-17,116,2154,1145,-1773,3493,-194,24.084,-1.338,25.422
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120C-L,-2,-22,118,2101,573,-1868,3355,-681,23.133,-4.695,27.828
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120N-A,87,-13,-137,-3407,1601,1652,2097,-3903,14.459,-26.911,41.37
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120N-C,-79,-81,-88,-3641,-3473,95,-3430,-3684,-23.65,-25.401,1.751
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120N-D,-90,-72,-57,-2742,-3531,-203,-2693,-35,-18.568,-0.241,18.327
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120N-E,-83,-52,-36,-1852,-3036,-215,-1814,-3074,-12.508,-21.195,8.687
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,U20N-F,-45,-22,-15,-765,-1584,-89,-756,-1593,-5.213,-10.984,5.771
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I120N-G*,0,-89,-19,-2371,-711,-943,-285,-2797,-1.965,-19.285,17.32
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,1120N-J,-26,-3,-2,-87,-796,-6,-87,-796,-0.6,-5.488,4.888
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-A,-128,-164,-105,-5792,-5572,-785,-4889,-6475,-33.71,-44.645,10.935
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-B,-15,-109,-39,-3231,-1426,-931,-1032,-3625,-7.116,-24.994,17.878
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-C,22,-43,10,-745,447,-703,772,-1071,5.323,-7.385,12.708
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-D,22,-2,33,665,855,-469,1238,282,8.536,1.944,6.592
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-E,12,22,41,1365,780,-253,1459,686,10.06,4.73,5.33
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-F,-24,34,26,1332,-313,108,1339,-320,9.232,-2.206,11.438
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-G,-29,16,12,648,-661,44,649,-663,4.475,-4.571,9.046
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,C120N-H,-30,12,10,524,-741,32,525,-742,3.62,-5.116,8.736
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0120N-J,-24,9,4,309,-635,70,314,-640,2.165,-4.413,6.578
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I150C-8,31,-120,-29,-3313,-67,-1216,337,-3718,2.324,-25.636,27.96
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I150C-C,3,-108,0,-2385,-616,-1444,193,-3193,1.331,-22.016,23.347
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I150C-D,-18,-93,7,-1861,-1086,-1330,-88,-2858,-0.607,-19.706,19.099
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,T150C-E*,0,-81,13,-1493,-448,-1260,393,-2335,2.71,-16.1,18.81
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I150C-F,-9,-44,17,-586,-432,-804,299,-1317,2.062,-9.081,11.143
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I150C-G,10,-11,10,-21,279,-285,451,-193,3.11,-1.331,4.441
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I150C-H,23,3,-2,-4,683,76,691,-12,4.764,-0.083,4.847
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,I150C-J,28,4,-27,-543,678,412,804,-668,5.544,-4.606,10.15
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0150C-A,-37,-126,-151,-6049,-2912,336,-2877,-6084,-19.837,-41.949,22.112
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0150C-C,6,-67,-76,-3140,-757,114,-751,-3145,-5.178,-21.685,16.507
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0150C-D*,17,0,-61,-1356,107,810,467,-1716,3.22,-11.832,15.052
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0150C-E,20,-32,-50,-1829,64,234,93,-1858,0.641,-12.811,13.452
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0150C-F,25,3,-20,-403,620,317,710,-493,4.895,-3.399,8.294
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,F_outplane_cylinder,cylinder,force,0150C-G,21,8,-9,-44,628,215,691,-107,4.764,-0.738,5.502
